"ПРАЙС ЛИСТ НА ХИМИЧЕСКИЕ РЕАГЕНТЫ  ДЛЯ ДЕЗИНФЕКЦИИ ВОДЫ В БАССЕЙНЕ ""АКВА ХИМИЯ""                                      тел: +996(555)33-66-11 г.Бишкек ул. Калыя Молдобасанова ,13а";;;
Наименование;ед.изм;Цена ,сом;Фото
Насос Espa Silen I 33 0,45 кВт  от 2м3 до 10м3 ,Н 1-10м;шт;36 500 сом;
Насос Espa Silen I 50 0,65 кВт  от 2м3 до 4м3 ,Н 1-14м,Н 1 - 12м;шт;38 700 сом;
Насос Espa Silen S 75  1,2кВт  от 9м3 до 18м3 ,Н 5 - 13м;шт;48 400 сом;
Насос Espa Silen S 100  1,3кВт  от 9м3 до 20м3 ,Н 5-15м;шт;48 400 сом;
Таймер модульный,маленький,Германия Hager;шт;15 900 сом;
Таймер большой ,Китай;шт;4 000 сом;
"Насос JCP10-50 0,37 кВт,220V-240V,50HZ/60HZ,1.5"" port ,  от3м3 до10м3 Н 1 - 10 м";шт;13 000 сом;
"Насос JCP10-75 0,55 кВт,220V-240V,50HZ/60HZ,1.5"" port , от 3м3 до 13 м3 Н 1 - 10 м";шт;14 600 сом;
"Насос JCP10-100 0,75Квт,220V-240V,50HZ/60HZ,1.5"" port  от 3 м3 до 15 м3 Н 1 -10 м";шт;15 000 сом;
Насос JCP10-120  0, 9 Квт,220V-240V,50HZ/60HZ от 3м3 до 18 м3 Н 1- 12м;шт;16 400 сом;
"Насос JCP10-150 1,1 кВт.220V-240V,50HZ/60HZ,2"" port  от4 м3 до 24 м3 Н 6-15";шт;23 100 сом;
"Насос JCP10-200 1,5 Квт,220V-240V,50HZ/60HZ,2"" port  от 4 м3 до 30 м3 Н 8 - 17м";шт;25 100 сом;
"Насос JCP10-300 2,2 кВт,220V-240V,50HZ/60HZ,2"" port  от 4м3 до 36м3 Н 3-18 м3";шт;30 300 сом;
"Насос JSP3-400 4HP,380V,50HZ/60HZ,2.5"",3"",4"" port ,3кВт, от 10 м3 до 75 м3,Н 7-13 м";шт;37 000 сом;
